銘柄,現在価格,投資スコア,リスクスコア,5日後リターン予測,30日後リターン予測,推奨度,RSI,MACD
AAPL,230.49000549316406,100.0,32.39666980064723,11.09886226058876,19.39829339088314,強い買い,64.5628623369598,4.79943113029438
MSFT,506.739990234375,56.86428343650469,30.750261162386668,-0.025046484551126014,2.712430273173311,ホールド,46.42454831131256,-0.762523242275563
GOOGL,207.47999572753906,100.0,52.073063375689344,10.477834627674667,17.966751941512,買い,68.51205735913396,4.988917313837334
AMZN,229.1199951171875,100.0,24.356997565895334,4.458485414679501,9.437728122019251,強い買い,55.438682265442395,1.4792427073397505
TSLA,349.6000061035156,100.0,47.90674416134095,13.719782613223401,22.829673919835102,買い,61.529075870707175,6.609891306611701
META,747.3800048828125,100.0,30.689951418990923,14.981197820075295,25.721796730112942,強い買い,49.59426410341745,6.240598910037647
NVDA,181.60000610351562,100.0,29.410863615773774,7.26361474076424,13.64542211114636,強い買い,60.89507225606593,2.88180737038212
NFLX,1223.5,100.0,20.97066810722486,6.404203413647792,12.356305120471688,強い買い,53.07163004992291,2.452101706823896
JPM,299.2799987792969,100.0,64.68254831975341,4.713089274591994,9.31963391188799,ホールド,61.626065106520024,2.106544637295997
BAC,50.380001068115234,0.0,86.96681170205031,-3.053778769856359,-7.161336309569077,売り,70.53778769856359,0.8196730554880531
JNJ,176.7899932861328,100.0,43.23270214048027,9.137299138276944,16.455948707415416,買い,69.9022043775764,3.818649569138472
UNH,303.8800048828125,100.0,36.41767180073781,15.518112620674628,26.027168931011943,強い買い,60.261882203291805,7.009056310337314
PFE,25.06999969482422,82.74813875766283,14.91976000152101,2.045142489594312,5.817713734391468,強い買い,53.553807874220226,0.272571244797156
PG,156.9600067138672,86.84011848817646,22.708285457911565,2.3643840271557224,6.296576040733584,強い買い,53.21560617090024,0.4321920135778612
KO,68.83000183105469,72.22146781442521,32.509402766210684,1.2770012505424688,4.665501875813703,買い,43.36317394214783,-0.11149937472876559
WMT,96.08000183105469,80.6001247136796,48.67512798956605,1.9314189869041059,6.147128480356159,買い,39.02462459126095,-0.2842905065479471
DIS,118.08999633789062,71.26371866040542,23.883886204368313,1.1059518509774477,4.408927776466172,買い,52.702264922708956,-0.19702407451127613
HD,408.239990234375,100.0,40.36121043588153,19.966036359084455,32.69905453862668,買い,63.05876457842789,9.233018179542228
LOW,258.6700134277344,100.0,42.473199754492335,18.427514585882932,30.391271878824398,買い,67.38445912334163,8.463757292941466
COST,949.52001953125,7.360311363172942,31.54766462630167,-3.9116050243194422,-3.1174075364791634,売り,43.35124722388657,-2.705802512159721
TGT,97.95999908447266,48.53345897262897,33.84920296223429,-0.6142870250350256,1.8285694624474615,ホールド,43.20682261855597,-1.0571435125175128
NKE,78.05999755859375,100.0,39.49168850208014,4.243030259798019,9.114545389697028,強い買い,59.608786140621916,1.3715151298990094
SBUX,87.66000366210938,47.20776576873171,31.097899838161382,-0.7069276633873756,1.6896085049189367,ホールド,42.64787187024635,-1.1034638316936878
